,arcid,press,title,content,journalist,date,link,category
0,235502989,한겨레,1월30일 궂긴소식,"◆ 조규용씨 별세: 배월선씨 남편, 세현(사진작가, 서울 중구문화재단 사장) 종현 정우 기정씨 부친, 빈센트 트렌 강민식(남서울대 가상현실학과 교수)씨 장인, 김영애 홍진경씨 시부=29일 오전 9시 분당서울대병원. 발인 31일 오전 8시30분. (031)787-1500. ◆ 김용희씨 별세: 모철인 옥향 현경 철민(전 문화체육관광부 차관)씨 모친=29일 오전 3시 강남세브란스병원. 발인 31일 오전 5시30분. (02)2019-4003. ◆ 허수열(충남대 경제학과 명예교수)씨 별세: 손인자씨 남편, 규서(한국교육방송공사 감독) 윤경씨 부친, 이준엽(아주대 경영학과 교수)씨 장인, 이청백씨 시부, 나연 준오 유림씨 조부, 이의정 의주씨 외조부=29일 오전 10시 서울대병원. 발인 31일 오전 7시. (02)2072-2028. ◆ 김정임씨 별세: 이종호(전 평택시 부시장)씨 장모=29일 오전 11시5분 파주 메디인병원. 발인 31일 오전 8시. (031)570-9093. ◆ 이충순(전 롯데 투수코치) 별세: 준서씨 부친, 나승미씨 시부=28일 오전 8시15분 분당서울대병원. (031)787-1505. ◆ 강순애씨 별세: 김종칠 종오 종국(김&장법률사무소 변호사)씨 모친=28일 광주스카이장례식장. 발인 30일 오전 10시30분 (062)951-1004 ◆ 윤승근(전 에스케이교역 대표)씨 별세: 김영자씨 남편, 상수 상미씨 부친, 정창은씨 장인, 신희영씨 시부, 보림씨 조부, 정희중 희강씨 외조부=서울성모병원. 발인 1일 오전 10시. (02)2258-2940.",한겨레 기자,20230129,https://v.daum.net/v/20230129235502989,society
1,234609963,조선일보,갑자기 버스 세우더니 불길 속으로…‘소방차 10대’ 역할한 남성,"자칫 대형 화재가 될 뻔했던 불길이 시내버스 기사의 신속한 초동 대처로 빠르게 진압됐다. 29일 경주시 등에 따르면, 지난 20일 오후 1시 5분쯤 경주시 외동읍 구어교차로 인근의 한 상가에서 화재가 발생했다. 화재는 상가 옆 도로를 운행하던 새천년미소 600번 시내버스 기사 최우식(62)씨에 의해 금세 진압됐다. 당시 상황이 담긴 영상을 보면, 운전하던 최씨는 운전석 왼편에서 불이 난 것을 발견하고 즉시 버스를 세운다. 이후 분말 소화기를 들고 내려 화재가 발생한 지점으로 향한다. 희뿌연 연기가 가득하지만, 최씨는 아랑곳하지 않고 진화를 시도한다. 상가 한쪽에서 커지고 있던 불씨는 최씨가 뿌린 소화기에 점차 사그라든다. 이후 신고를 받고 출동한 119가 불길을 마저 잡았다. 119 관계자는 “화재 초기의 소화기는 소방차 10대 이상 역할을 할 수 있다”며 “최 기사의 침착한 초기 대응으로 큰 불을 막았다”고 했다. 당시 600번 시내버스에 탑승하고 있던 한 승객도 경주시 홈페이지 게시판을 통해 감사 인사를 전했다. 이 승객은 “버스를 타고 가다가 한 건물 뒤편에서 불이 났다”며 “불이 난 줄도 몰랐는데 갑자기 버스 기사님이 소화기를 들고 급히 내리시더니 불을 껐다”고 했다. 그러면서 “큰불이 될 뻔했는데 119 올 때까지 침착하게 불을 끄시고 다시 운전했다. 덕분에 버스 타고 가는 사람들 모두 아무 탈이 없었다”고 했다. 최씨는 “할 일을 했을 뿐”이라며 “매달 한 차례 회사에서 받고 있는 안전교육이 큰 도움이 된 것 같다”고 했다.",박선민 기자,20230129,https://v.daum.net/v/20230129234609963,society
2,234000935,뉴시스,부산 동래구 교차로서 5중 충돌사고…5명 중·경상,"[부산=뉴시스]이동민 기자 = 29일 오후 6시 5분께 부산 동래구의 교차로에서 달리던 그랜저 승용차가 1t 트럭, 벤츠 승용차와 잇달아 충돌했다. 사고 충격으로 1t 트럭이 맞은 신호대기 중이던 승용차 2대를 들이받았다. 또 1t 트럭에 적재된 공사자재가 날아가 차량 3대가 파손됐다. 이 사고로 그랜저 운전자 A(60대)씨와 1t 트럭 운전자 B(40대)씨는 중상을 입고 인근 병원에 옮겨졌다. 다른 사고 차량 운전자 3명은 경상을 입었다. 경찰은 사고 차량의 블랙박스 영상을 분석하는 등 A씨를 상대로 정확한 사고 원인을 조사할 예정이다.",이동민 기자,20230129,https://v.daum.net/v/20230129234000935,society
3,233948934,뉴시스,"통영해경, 용남면 뱀섬 인근 침수어선 구조…인명피해 및 해양오염 없어","기사내용 요약 침수어선, 사천에서 마산으로 이동중 암초에 좌초 [통영=뉴시스] 신정철 기자 = 통영해양경찰서(서장 주용현)는 29일 낮 12시 16분께 통영시 용남면 뱀섬 북쪽 해상에서 2.9t급 연안자망어선 A호(승선원 1명)가 침수가 발생했다는 신고를 접수받고 연안구조정과 해경구조대를 급파해 구조했다. 현장에 도착한 통영해경은 A호 선장 B씨(52·남, 창원 거주)는 무사한 것으로 확인하고, 잠수요원이 선박 상태 확인결과 선저에 40x10cm 규모의 균열이 생긴 것을 발견했다. 통영해경은 A호의 침수로 인한 2차 사고를 막기 위해 수중타카를 이용하여 균열을 봉쇄했고, 더 이상 침수가 되지 않는 것을 확인하고 안전 호송했다. A호는 이날 오전 사찬시 삼천포항에서 출항하여 마산으로 이동하다가 지형을 착각하여 해상 암초에 부딪히며 사고가 발생한 것으로 알려졌다. 통영해경 관계자는 “통영시 용남면 뱀섬 주변 해역은 수심이 얕고 암초가 많아 사고 위험성이 높으므로 주변을 항행하는 선박은 각별한 주의가 필요하다”고 말했다.",신정철 기자,20230129,https://v.daum.net/v/20230129233948934,society
4,233453917,조선일보,"법원, ‘창원간첩단 사건’ 관련자 4명 체포적부심 기각","국가보안법 위반 혐의로 지난 28일 체포됐던 이른바 ‘창원간첩단’ 사건 관련자 4명이 법원에 체포적부심을 청구했지만 29일 기각됐다. 이들의 체포 상태는 유지되며, 검찰은 이들에 대한 구속영장 청구 여부를 검토할 예정이다. 서울중앙지법은 29일 오후 국가보안법 위반 혐의를 받는 경남진보연합 관계자 A씨 등 4명의 체포적부심을 진행했다. 이들은 2016년쯤 경남 창원을 중심으로 결성된 ‘자주통일 민중전위’라는 반정부 단체에서 활동하며 캄보디아 등 동남아 국가에서 북한 공작원들과 접촉해 북측 지령을 받은 혐의를 받는다. 체포적부심은 수사기관의 체포가 부당하다고 여길 때 피의자가 법원에 석방을 요구하는 절차다. 법원은 피의자 심문이 끝나면 24시간 이내에 인용 여부를 결정해야 한다. 이날 체포적부심은 검찰과 피의자 모두 불출석한 채 당직 판사가 오후 3시부터 약 2시간 동안 진행한 것으로 전해졌다. 판사는 양측이 제출한 의견서를 중심으로 체포의 적절성을 심사한 끝에 이들의 체포적부심 청구를 기각한 것으로 전해졌다. 앞서 국가정보원과 경찰은 작년 11월 국가보안법 위반 혐의로 이들의 주거지와 사무실을 압수 수색한 데 이어, 지난 28일 이들을 국가보안법 위반 혐의로 체포했다.",허욱 기자,20230129,https://v.daum.net/v/20230129233453917,society
5,233113900,국민일보,“연천군 생활폐기물 자체 매립 예산 과다 사용돼”,"경기 연천군이 수십 년간 생활폐기물을 자체적으로 매립하면서 다른 지자체보다 10배에 달하는 예산을 사용하는 등 방만 운영되고 있다는 의혹이 제기됐다. 연천군 등에 따르면 군은 30여년 전부터 직영 생활폐기물 매립장인 ‘자원새롬센터’를 운영 중이다. 이곳에는 소각시설, 매립시설, 재활용선별시설 등이 운영되고 있다. 자원새롬센터 생활폐기물 매립시설 종료 시일이 다가오자 연천의 한 지역 언론인 A씨는 연천군 생활폐기물 매립장 종료에 따른 자체 매립시설 운영비용 경제성 분석을 전문 업체에 의뢰했다. A씨는 해당 분석 내용을 가지고 연천군의 과다한 예산 지출을 지적하며 예산을 아껴 군민에게 돌려줄 방안을 마련해야 한다고 주장하고 있다. 연천군의 생활폐기물 매립장 운영과 폐기물 처리비용을 분석한 자료에 따르면 연천군을 제외한 경기도 대부분 시·군과 서울시·인천시는 수도권 매립지 이용에 1t당 9만7963원의 비용을 내지만, 연천군의 경우 매립장 종료 매몰비, 사후 공사·관리비, 민간위탁운영비, 주변 지역 마을지원비 등을 포함하면 1t당 101만원이 넘는 매립비용을 지출하는 것으로 분석됐다. 특히 연천군이 생활폐기물 매립시설 운영이 종료되는 2028년을 대비해 향후 47년간 운영할 추가 매립장을 192억원을 들여 조성하겠다는 계획에 대해서는 현재보다 더 많은 예산이 필요할 것이라고 지적됐다. 자료에 따르면 물가상승률을 반영한 추가 매립장의 매립비용은 1t당 180만원이 넘을 것으로 분석됐다. 또한 연천군이 민간 기업에 위탁해 운영 중인 자원새롬센터의 방만 운영 의혹도 제기하며 개선 방안이 필요하다는 주장을 했다. A씨는 “재정자립도 최하위인 연천군은 수도권에서 유일하게 관내에서 발생하는 생활폐기물을 30여년간 직영으로 매립하며 천문학적인 예산을 낭비했다”며 “이 같은 상황에서 군은 향후 47년간 운영할 매립장을 조성하겠다는 계획을 세웠다. 예산을 줄일 방안을 찾는 등 획기적인 의식전환으로 수천억원에 달하는 군민의 혈세를 아껴야 한다”고 주장했다. 이어 “매년 45억원을 민간 기업에 지급해 위탁 운영하는 자원새롬센터 또한 비합리적으로 운영되고 있다. 연간 2839t, 일일 10t 미만 매립 등을 위해 직원 5명과 불도저 1대, 굴착기 2대, 스키로더 2대, 지게차 1대, 덤프 2대를 운영하고 있다”며 “하루에 덤프트럭 1/2 분량의 소각재를 바로 옆에 있는 매립장까지 운반 및 처리하는데 이틀에 30분이면 끝낼 일이다. 직원 5명과 수십억원이 되는 중장비 8대를 운영한다는 것은 예산 낭비”라고 강조했다. 이에 대해 연천군 관계자는 “자원새롬센터의 민간 기업 위탁비 연간 약 45억원 중 생활폐기물 매립장 이용비는 약 5억2000만원 정도의 예산만 사용된다. 해당 시설로 피해를 받는 시민에게 지원하는 주변 지역 마을지원비의 경우 이번에 예산이 늘었지만 이는 해당 시설이 있으면 필수적으로 들어갈 수밖에 없는 예산”이라며 “정확한 수치는 아니지만 매립장 최초 조성비 49억원과 매년 필요한 연간 위탁비로만 단순 계산을 하면 생활폐기물 1t당 3만4000원 정도의 예산을 사용하고 있다. 신규 매립장의 경우 같은 방식으로 계산해보면 1t당 18만원 가량이 사용된다. 이 수치가 정확하지는 않지만 1t당 101만원의 예산이 사용된다는 주장은 너무 과한 것”이라고 설명했다. 이어 “자원새롬센터에서 운영되는 중장비의 경우 군에서 다른 용도로도 사용한다. 단순히 해당 업무로만 사용하지 않기에 예산 낭비라고 보면 안 된다”면서 “생활폐기물 처리를 업체에 맡기면 자원새롬센터 운영하지 않아도 되고 군은 오히려 더 좋다. 군에서도 예산 절감을 위해 다방면으로 알아봤지만 저렴한 업체도 1t당 30여만원을 요구하는 등 직영 운영보다 비싸다고 판단됐다. 군민의 혈세를 낭비하지 않도록 노력하겠다”고 덧붙였다. 연천=박재구 기자 park9@kmib.co.kr",박재구 기자,20230129,https://v.daum.net/v/20230129233113900,society
6,232112875,중앙일보,'창원 간첩단 사건' 연루자 4명 체포적부심 기각,‘창원 간첩단 사건’에 연루된 혐의로 체포된 ‘자주통일민중전위’(약칭 자통) 관계자 4명의 체포적부심 청구가 기각됐다. 법원에 따르면 서울중앙지법은 29일 오후 국가보안법 위반 혐의를 받는 경남진보연합 관계자 4명이 청구한 체포적부심 청구를 기각했다. 체포적부심은 수사기관의 체포가 부당하다고 여길 때 법원에 석방을 요구하는 절차다. 법원의 이번 결정으로 이들은 체포시한(48시간)이 만료될 때까지 체포 상태에서 수사를 받게 된다. 이들은 ‘자주통일민중전위’라는 단체에서 활동하며 캄보디아 등 동남아 국가에서 북한 관련 인사들과 접촉해 지령을 받은 혐의를 받고 있다. 이보람 기자 lee.boram2@joongang.co.kr,이보람 기자,20230129,https://v.daum.net/v/20230129232112875,society
7,231825868,조선일보,"‘빅토르 안’ 안현수, 국내 복귀 무산…성남시청 코치직 탈락","2011년 한국을 떠나 러시아로 귀화한 전 쇼트트랙 선수 빅토르 안(38·한국명 안현수)의 국내 복귀 시도가 일단 무산됐다. 경기도 성남시청 직장운동부 빙상팀 코치에 지원했으나, 최종 후보에 들지 못해서다. 성남시는 29일 “시청 빙상팀 코치직 채용 전형에 빅토르 안을 포함해 7명이 지원했는데, 빅토르 안은 상위 2배수 후보에 들지 않았다”고 밝혔다. 시 관계자는 “서류와 면접 심사를 통해 기술, 소통 능력 등 여러 요소를 종합해 판단했다”며 “빙상계 여론과 언론 보도 등을 통해 나오는 시각도 평가에 반영됐다”고 했다. 성남시는 지난해 12월 19일 빙상팀 코치를 뽑기 위한 채용 공고를 냈다. 빅토르 안과 베이징 동계올림픽에서 중국 대표팀을 이끈 김선태 전 감독 등 7명이 지원했다. 김 전 감독도 최종 후보에 들지 못한 것으로 전해졌다. 빅토르 안은 2006년 토리노 동계올림픽에서 3개의 금메달을 딴 한국 쇼트트랙의 간판이었다. 2011년 소속팀이었던 성남시청이 빙상팀을 해체하자 선수 생활을 이어가기 위해 러시아로 귀화했다. 2014년 소치 동계올림픽에는 러시아 선수로 나서 3관왕에 올랐다. 2018년 평창 동계올림픽 출전이 무산된 이후에는 은퇴를 선언하고 지도자로 변신했다. 2022년 베이징 동계올림픽에서는 중국 대표팀 코치로 활동했다. 성남시는 31일 빙상팀 코치 선발 결과를 발표할 예정이다.",오경묵 기자,20230129,https://v.daum.net/v/20230129231825868,society
8,230247826,세계일보,[속보] 법원 '창원 간첩단 사건' 연루자 4명 체포 적부심 기각,서울중앙지법은 29일 ‘창원 간첩단’ 사건 연루 혐의로 체포된 ‘자주통일 민중전위’ 관계자 4명이 청구한 체포 적부심을 기각했다. 김현주 기자 hjk@segye.com,김현주 기자,20230129,https://v.daum.net/v/20230129230247826,society
9,224807752,연합뉴스,"부산 온천교사거리서 5중 추돌사고…""신호위반 추정""",(부산=연합뉴스) 박성제 기자 = 29일 오후 6시 5분께 부산 동래구 온천교사거리에서 60대 A씨가 몰던 그랜저 승용차가 다른 차로에서 교차로를 통과하던 1t 포터 트럭과 벤츠 승용차를 들이받았다. 사고 충격으로 1t 포터 트럭이 맞은편에서 신호를 대기 중이던 승용차 2대를 잇달아 들이받았다. 또 트럭에 적재된 공사 자재가 날아가면서 인근에 있던 SUV 차량 1대와 승용차 2대가 파손되기도 했다. 이 사고로 A씨와 50대 1t 포터 트럭 운전자가 중상을 입었으며 나머지 운전자 일부도 경상을 입었다. 경찰은 A씨가 신호를 위반해 사고가 발생한 것으로 보고 구체적인 사고 원인을 조사하고 있다. psj19@yna.co.kr,박성제 기자,20230129,https://v.daum.net/v/20230129224807752,society
